hpx,n,x,y,z
6132,131,-0.0399344352116938,0.8257322247301678,0.5624864551606094
8451,85,0.057695742715648826,0.4670973671986855,-0.8821965956430137
12153,66,0.792490314218581,-0.5566325735284693,-0.24884460056334995
11896,107,0.40954099293590934,-0.683654812045833,-0.6039112687938596
8493,52,0.23997777679803406,0.5787349389831827,-0.7793045397872954
2643,35,-0.5894174767585254,-0.486952816950645,0.6444192002176211
5744,103,0.19425947789337045,0.980633617314877,0.02119163411780102
9102,35,0.7845062020989128,0.49528416800879244,-0.37295512167977857
5455,121,-0.5551314581749707,0.8313878924094253,-0.02128602928163257
211,73,0.5561784832129133,0.6798228764136534,0.47786311567675754
7658,230,0.21681211115424662,-0.9613995017761324,0.1689455842034699
11028,120,-0.5079299112709543,-0.6859065082136517,-0.5209258118955006
2764,34,-0.6142491563901268,-0.20144013570432287,0.7628171021168048
7207,354,-0.041212342058896456,-0.8760884615285471,-0.4802088442266408
8895,38,0.8370051477875969,0.16654935204929333,-0.5210588448533905
6454,35,-0.9105750135001911,-0.4039149644074061,-0.08686671983556882
11786,164,0.020079502132687197,-0.4929390982370881,-0.869697966755528
11808,200,0.01890835092976538,-0.5153047772464108,-0.8566573778692039
3639,287,0.3402069863187847,-0.7196482422083404,0.6051315364340032
11799,110,0.27391958846122577,-0.538933257899447,-0.7964420407648581
3388,129,0.7365550822505469,-0.30448731633562137,0.6038306041808166
654,102,0.7670052492778636,0.13336723866690786,0.6274828058773985
1522,44,-0.5220244165992642,0.13227357830466516,0.8425041257374506
7388,68,0.09964279959114793,-0.9836479471381362,-0.14949390731267848
4334,43,0.9845194734436771,-0.1229529222546538,-0.12408782613234255
3222,175,0.6146972207933689,-0.7147771446710727,0.3332923796214287
7659,209,0.2363125429211801,-0.9531205765768195,0.18853115150493785
1257,67,-0.5329260419456127,0.6830011505797381,0.499331898073644
71,61,0.4948405205985369,0.8262353521172109,0.2688858170101016
7874,92,-0.404587030929369,-0.9134195415052669,0.04228855957887771
3349,93,0.8439397441886073,-0.191215924232833,0.50103977145209
11107,79,-0.5947598089495174,-0.7221925079441387,-0.3528737877961163
8394,37,0.3878650135531851,0.3045722717903957,-0.8698378375697903
2575,37,-0.8107445795067098,-0.3370449030344987,0.47845908124424585
11886,93,0.35042023553075147,-0.6968351105905227,-0.6256664496860125
2844,42,-0.33687761899049995,-0.4483847462211776,0.8277983023786218
6286,67,-0.9042077080480408,0.20468613185767226,-0.37461844924884397
3167,100,0.8100782659517485,-0.4334860362867344,0.39457059438309
796,102,0.34011537608005105,0.44529140495190744,0.8281674450457676
4961,44,0.9489955594230903,0.11964350034542477,0.29137873511062756
1440,48,-0.6162479290607558,0.5069060760781846,0.6025937098826254
4003,103,0.09664411304654803,-0.412848840883243,0.9055426442132367
8644,54,0.2672904679196511,0.7495751510638263,-0.6054039014612737
11455,107,0.27606836927244427,-0.4894151061289455,-0.8270832786575345
6749,39,-0.9962453939477356,0.0746557288265599,0.04213147948528211
454,140,0.20203849893946302,0.6366998714498658,0.7440413119305852
