name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-5661.01,349312122,222.368583,20.615336,12.958,18630.0,2.029,2459715.238616,PC,2024-08-22 10:08:01,6796.007952754348,"depth 18630 ppm, duration 2.03 h, Tmag 12.96 → score 6796",890
TOI-1162.01,13419950,305.289344,41.462366,9.65306,3210.0,3.255,2460544.815606,PC,2024-11-14 10:08:02,6794.672501135413,"depth 3210 ppm, duration 3.25 h, Tmag 9.65 → score 6795",891
TOI-7188.01,317849098,275.009695,11.21051,12.2275,9489.0,3.987,2460500.980635,PC,2025-09-24 12:04:28,6792.717675562531,"depth 9489 ppm, duration 3.99 h, Tmag 12.23 → score 6793",892
TOI-4771.01,266441563,118.546528,1.792994,11.9135,8932.0,3.366,2459249.632763,APC,2024-08-22 10:08:01,6788.999398860464,"depth 8932 ppm, duration 3.37 h, Tmag 11.91 → score 6789",893
TOI-2919.01,74274839,137.261531,-44.69446,12.5917,13800.0,2.633,2459298.680353,PC,2024-09-01 12:02:56,6788.354532553802,"depth 13800 ppm, duration 2.63 h, Tmag 12.59 → score 6788",894
TOI-7204.01,71083829,301.736864,-8.701088,11.5415,8079.0,2.916,2460532.059652,PC,2025-07-22 12:04:25,6783.461554334312,"depth 8079 ppm, duration 2.92 h, Tmag 11.54 → score 6783",895
TOI-7880.01,328100489,14.305249,-12.013518,11.9524,8122.8808663,4.2066858,2460983.572014,PC,2026-07-25 12:04:08,6779.538345602067,"depth 8123 ppm, duration 4.21 h, Tmag 11.95 → score 6780",896
TOI-7196.01,39464158,263.018737,34.379808,13.3874,27117.0,1.415,2460503.962418,PC,2025-04-14 12:03:26,6778.597717479813,"depth 27117 ppm, duration 1.42 h, Tmag 13.39 → score 6779",897
TOI-7198.01,317170536,280.261211,28.442042,13.0084,15027.0,3.25,2460501.081878,PC,2025-08-11 12:03:48,6778.5057205442845,"depth 15027 ppm, duration 3.25 h, Tmag 13.01 → score 6779",898
TOI-6623.01,207937389,207.421621,-57.150013,13.0339,16245.0,2.844,2460094.305669,PC,2024-08-22 10:08:01,6774.925310094048,"depth 16245 ppm, duration 2.84 h, Tmag 13.03 → score 6775",899
